key,Press any key to continue,Naciśnij dowolny klawisz aby kontynuować
RefreshRate,Refresh Rate,Częstotliwość Odświeżania
Unlimited,Unlimited,Nielimitowana
VerticalSync,Vertical Sync,Synchronizacja Pionowa
On,On,Włączono
Off,Off,Wyłączono
Effects,Effects,Efekty
BlurQuality,Blur Quality,Jakość Rozmycia
Low,Low,Niska
Medium,Medium,Średnia
High,High,Wysoka
Other,Other,Inne
ShowWelcomeWindow,Show Welcome Window,Pokaż Okno Powitalne
No,No,Nie
Theme,Theme,Motyw
Light,Light,Jasny
Dark,Dark,Ciemny
Language,Language,Język
English,English (en),Angielski (en)
Polish,Polish (pl),Polski (pl)
LayoutSystem,Layout System,System Planowania UI
StandaloneComponent,Standalone Component,Samodzielny Komponent
StandaloneComponentText,"The layout system provides the Layout Frame component, which can be added to a game object using the standard ""Add Component"" button or through the Transform context menu. When the Layout Frame component is added in editor mode, the interface layout will be automatically adjusted without the need for any further actions.","System planowania UI zawiera komponent Layout Frame, który może zostać dodany do obiektu gry za pomocą standardowego przycisku „Add Component” lub poprzez menu kontekstowe elementu Transform. Po dodaniu komponentu Layout Frame w trybie edycji, elementy interfejsu są rozmieszczane automatycznie."
FlowAndAlignment,Flow and Alignment,Przepływ i Wyrównywanie
FlowAndAlignmentText,"The Layout Frame provides the capability to modify the flow and alignment of content. Child elements can be arranged horizontally, vertically, or in wrap mode, which functions similarly to text, causing overflowing frames to move to the next line. Additionally, it is possible to adjust the positioning of child elements to align with the right, left, or center of the parent container.","Komponent Layout Frame pozwala zarządzać układem elementów składowych. Wspominane elementy mogą być ułożone poziomo, pionowo lub w trybie zawijania, który działa podobnie do teksu, powodując przemieszczenie elementów powodujących przepełnienie do następnej linii. Dodatkowo, istnieje możliwość pozycjonowania ramek podrzędnych, tak by przylegały do lewej lub prawej krawędzi elementu nadrzędnego, albo pozostawały wyśrodkowane."
ResizingAndAnimation,Resizing and Animation,Rozmiar i Animacje
ResizingAndAnimationText,"The child and parent interface elements, while maintaining a fixed pixel size, can be modified to either occupy the entire parent container or reduce in size to align with the content, whether vertically, horizontally, or in both dimensions. In addition to the rotation property, a specialized content offset property has been introduced to facilitate efficient animation without the necessity of reconstructing the entire layout.","Zarówno główny komponent jak i jego elementy podrzędne, poza podstawowym wymiarem podanym w pikselach, mogą być modyfikowane aby zajmowały dostępną przestrzeń lub dopasowywały się do zawartości zarówno w pionie, jak i w poziomie. Udostępniono również właściwości rotacji oraz przesunięcia zawartości, które pozwalają na tworzenie animacji bez konieczności rekonstrukcji całego interfejsu."
PaddingAndSpacingWorkflow,Padding and Spacing Workflow,Praca z Marginesami i Odstępami
PaddingAndSpacingWorkflowText,"The custom layout system enables the utilization of a padding and spacing workflow, allowing users to manage multiple child frames through a limited set of properties, rather than manually positioning each object or individually adjusting the margin properties of each item.","Wprowadzony system planowania interfejsu kładzie nacisk na korzystanie z techniki „Padding and Spacing Workflow”, która pozwala zarządzać pozycjonowaniem wielu elementów za pomocą niewielkiego zbioru właściwości, zamiast zmuszać użytkownika do dostosowywania pozycji każdego elementu z osobna. "
ErrorDetection,Error Detection,Wykrywanie Błędów
ErrorDetectionText,"A significant drawback of the proposed solution is the potential for encountering a scenario that can be characterized as a collision. This occurs, for instance, when a container attempts to resize itself to fit the dimensions of a child element, while the child element simultaneously strives to conform to the size of its parent. Instances of such conflicts are indicated by marking invalid properties and presenting a warning icon within the hierarchy window.","Znaczącą wadą zaproponowanego rozwiązania jest możliwość napotkania sytuacji, którą można określić jako kolizję. Przykładowo, występuje ona gdy gdy element nadrzędny usiłuje dopasować się do elementów podrzędnych, podczas gdy te starają się wypełnić przestrzeń ramki-rodzica. W przypadku wystąpienia takiego konfliktu, system oznacza związane z nim właściwości jako nieprawidłowe i umieszcza ikony ostrzeżenia w oknie hierarchii."
TextSupport,Text Support,Pozycjonowanie Tekstu
TextSupportText,"A user interface is not considered complete without the inclusion of text support; therefore, Text Mesh UI components are incorporated. When a component of this nature is added, the Layout Frame recognizes it and provides a designated field for text input. Subsequently, additional properties can be utilized to modify the text's behavior, such as enabling the wrapping container to expand in response to an increasing character string.","Interfejs użytkownika nie byłby kompletny bez elementów tekstowych, toteż zaimplementowano wsparcie komponentów Text Mesh UI. Komponent Layout Frame automatycznie wykrywa dodany element tekstowy i udostępnia specjalne pole w oknie inspektora. Następnie, właściwości Layout Frame mogą zostać wykorzystane, by odpowiednio dopasować ramkę do tekstu, która może rosnąć wraz z łańcuchem znaków lub ograniczyć jego długość."
UIToolkitLocalization,UI Toolkit Localization,UI Toolkit - Lokalizacja
LocalizationWindow,Localization Window,Okno Lokalizacji
LocalizationWindowText,"The localization process can be administered via a dedicated interface that reveals the localization address for each registered text element, which comprises a localization table and a key. Every text element is stored in a database and is recognized by a unique identifier, allowing users to modify the label's name or even the complete structure of the Visual Tree, while ensuring that the UI element remains accurately localized.","Proces lokalizacji jest zarządzany za pośrednictwem dedykowanego okna, które wyświetla adres lokalizacji (nazwa tabeli i klucz) każdego zarejestrowanego elementu tekstowego. Każdy ze wspomnianych elementów jest przechowywany w bazie danych pod unikalnym identyfikatorem. Pozwala to na bezpieczną modyfikację nie tylko właściwości elementu, ale również struktury hierarchicznej."
LocalizationTables,Localization Tables,Tabele Lokalizacyjne
LocalizationTablesText,"The plugin prototype facilitates the creation of localization tables. An editable version of these tables is provided in a CSV format, which can be modified using a basic text editor or a more sophisticated spreadsheet application. The original tables can be linked to table assets that monitor changes in the source, subsequently enabling the localization of text elements.","Prototyp niniejszego dodatku pozwala na tworzenie tabel lokalizacyjnych. Edytowalnym formatem takowych tabel jest plik CSV, który może być modyfikowany za pomocą prostego edytora tekstowego lub bardziej złożonej aplikacji. Wspomniane pliki mogą zostać połączone z plikami zasobów, które monitorują zachodzące w nich zmiany, umożliwiając w ten sposób lokalizację elementów tekstowych."
Usage,Usage,Korzystanie
UsageText,"In Unity 2022, the UI Toolkit lacks localization support; therefore, the proposed solution aims to address this limitation. Users have the ability to associate tables and keys with each text element, regardless of whether the element is part of a custom control or a Visual Tree template. Any modifications made to the localization table will be updated in real-time upon saving the table file.","Pakiet UI Toolkit w Unity 2022 jest pozbawiony systemu lokalizacji, zaś celem proponowanego dodatku jest rozwiązanie tego problemu. Użytkownik będzie mógł powiązać tabele i klucze z elementami tekstowymi niezależnie od tego czy są one częścią obiektu Visual Tree, czy niestandardowej kontrolki interfejsu, a wszystkie modyfikacje wprowadzone w tablicy lokalizacyjnej będą aktualizowane po zapisaniu pliku tabeli."
SettingsText,"Upon the installation of the plugin, an asset for settings and a database are established. At this stage of development, the primary function of the settings asset is to facilitate the selection, addition, modification, and removal of locales. It is important to highlight that any alterations made to the settings asset are instantly visible in the UI Builder window.","Po zainstalowaniu wtyczki, tworzone są zasoby ustawień i bazy danych. Na aktualnym etapie rozwoju dodatku, głównym zadaniem ustawień jest umożliwienie wyboru, dodania, modyfikacji lub usunięcia języka. Warto przy okazji zaznaczyć, że wspomniane zmiany są natychmiastowo odzwierciedlane w oknie UI Builder."
OtherProjects,Other Project,Inne Projekty
ArcaneLands,Arcane Lands,Arcane Lands
ArcaneLandsText,"The project is primarily focused on the PC platform and is being developed using the Godot Game Engine. At this stage of development, the game enables users to construct buildings, create roads, collect resources, and assign quests. To facilitate the development process, several supplementary tools have been created, including a map editor and a decal drawer, as older versions of Godot did not support decals.","Projekt jest przede wszystkim dedykowany dla platformy PC i jest rozwijany z wykorzystaniem silnika Godot Game Engine. Na aktualnym stadium opracowania gra umożliwia użytkownikom tworzenie budynków i dróg, gromadzeni zasobów i przydzielanie zadań. Aby ułatwić proces tworzenia gry, opracowano kilka dodatkowych narzędzi jak edytor map czy narzędzie do rysowania decali, nie wspieranych w starszych wersjach silnika Godot."
AerobaticAircraftGame,Aerobatic Aircraft Game,Samolot Akrobacyjny - Gra
AerobaticAircraftGameText,"This game serves as a showcase for the functionalities of a custom game engine developed from the ground up. While it may appear straightforward, it is, in fact, a sophisticated piece of software that facilitates the integration of custom scripts, the reading of 3D models, textures, and shaders, as well as the implementation of a fundamental collision system. The game engine has been constructed using the JavaScript programming language and the Electron framework.","Ta gra jest pewnego rodzaju pokazem funkcjonalności niestandardowego silnika gry stworzonego od podstaw. Chociaż może się on wydawać prosty, jest w rzeczywistości złożonym oprogramowaniem, które pozwala na dodawanie dedykowanych skryptów, wczytywanie modeli 3D, plików tekstur i shaderów. Zawiera on również podstawowy system kolizji. Wspomniany silnik został wykonany z użyciem języka JavaScript i platformy Electron."
TheOldOnes,"The ""Old Ones""",Projekty „Pradawne”
TheOldOnesText,"While earlier projects may not showcase my skills effectively and may lack in impressiveness, they nonetheless serve as evidence that my journey in game development commenced more than ten years ago. The River Boat project and vehicle suspension tests were developed using the UnityScript programming language in Unity version 3.0.","O ile moje pierwsze projekty nie są imponujące i efektywnie nie oddają moich umiejętności, o tyle są stanowczym dowodem na to, że moja przygoda z rozwojem gier komputerowych rozpoczęła się ponad dekadę temu. Projekt „River Boat” i testy zawieszenia pojazdów zostały stworzone jeszcze z wykorzystaniem języka UnityScript w Unity 3.0."
Test1,"Lorem <link href=""https://unity.com/"">Link.com</link> ipsum dolor <link href=""https://unity.com/"">Link.com</link> sit amet.","Lorem <link href=""https://unity.com/"">Link.com</link> ipsum dolor <link href=""https://unity.com/"">Link.com</link> sit amet."
WelcomeDialogBoxText1,"Hello and welcome to my little showreel application! I'm really happy you made it this far, as downloading and installing an app takes a bit of effort, so thank you once again!","Cześć i czołem! Witam w mojej małej aplikacji pokazowej. Szczerze powiedziawszy to cieszę się, że dotarłeś/łaś aż tutaj, szczególnie że apka nie pobiera i nie instaluje się sama, zatem jeszcze raz dzięki!"
WelcomeDialogBoxText2,"Now, before you dive in, there are a few things to keep in mind. First, here's a handy tip: check the corners of the window for navigation buttons. You can also control the entire application using your keyboard. If you're curious about what each button does, just click the info button in the top right corner.","Teraz, zanim przejdziesz dalej, jest kilka spraw do omówienia. Po pierwsze, mała wskazówka: rzuć okiem na rogi ekranu, to tam znajdują się przyciski. Pamiętaj też, że całą aplikację można kontrolować za pomocą klawiatury, jeśli chcesz się dowiedzieć co jaki klawisz robi, poszukaj przycisku info w prawym górnym rogu."
WelcomeDialogBoxText3,"Secondly, I assume you downloaded this app from the source, so you might have already visited my repository. If you haven't, no worries - here's a <link href=""https://unity.com/"">link</link> for you.","Druga rzecz, zakładam, że pobrałeś/łaś aplikację ze źródła, więc pewnie moje repozytorium jest Ci już znane. Ale jeśli tak nie jest, to tu masz <link href=""https://unity.com/"">link</link>."
WelcomeDialogBoxText4,"Lastly, while this app showcases some of my projects, it's also quite enjoyable to explore on its own. Here are a few links to some interesting parts of the code:","Na koniec, o ile zadaniem tej aplikacji jest zaprezentować kilka moich projektów, to apka sama w sobie jest warta przejrzenia. Poniżej znajdziesz kilka linków do ciekawszych części programu:"
BoardsSystemLink,"<link href=""https://unity.com/"">Boards System</link> - Boards are made up of layers that work together like a composite, using a state pattern to ensure smooth navigation.","<link href=""https://unity.com/"">System Plansz</link> - Plansze to takie kompozyty warstw, które wykorzystują wzorzec ""state"", żeby przełączać się między sobą."
ControlsLink,"<link href=""https://unity.com/"">Controls</link> - If you know your way around Unity Toolkit, you should definitely take a look at those custom controls.","<link href=""https://unity.com/"">Kontrolki</link> - Jeśli znasz się na UI Toolkicie, to być może zainteresują cię niestandardowe kontrolki."
KeyframeSystemLink,"<link href=""https://unity.com/"">Keyframe System</link> - This is a better animation component that lets you animate more than just serialized properties.","<link href=""https://unity.com/"">System Klatek</link> - To jest w zasadzie ulepszony komponent Animation, jednak w przeciwieństwie do niego obsługuje nie tylko właściwości serializowane."
LayerManagementLink,"<link href=""https://unity.com/"">Layer Management</link> - This app has multiple UI layers that are displayed through a custom rendering pipeline!","<link href=""https://unity.com/"">Zarządzanie Warstwami</link> - Aplikacja wyświetla interfejs zbudowany z wielu warstw, składanych przez niestandardowy system renderowania."
LocalizationLink,"<link href=""https://unity.com/"">Localization</link> - Even though the localization system is included in this presentation (spoiler alert), I'm just using a simplified version here.","<link href=""https://unity.com/"">Lokalizacja</link> - Niniejsza prezentacja co prawda zawiera system lokalizacji (spoiler), ale tutaj również takową wykorzystuję - w uproszczonej formie."
